Area,Baths,Bedrooms,Price,location
18 Marla,6,5,PKR15 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,-,-,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR12 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
11.9 Marla,4,3,PKR3.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR7.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR8.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12 Marla,3,3,PKR3.15 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,6,5,PKR22 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
4 Marla,2,2,PKR1.1 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR16.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12.2 Marla,4,3,PKR3.01 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12.4 Marla,4,3,PKR2.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR8.85 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR8.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
7.7 Marla,2,2,PKR4.33 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.2 Kanal,6,6,PKR7.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR17 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR39 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR8.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.35 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,7,PKR11.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5.3 Marla,2,2,PKR1.11 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.49 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12 Marla,6,5,PKR7.45 Crore,"DHA Defence, Islamabad, Islamabad Capital"
4 Kanal,7,8,PKR60 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5 Marla,2,2,PKR75 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
